"","app","permlist","total"
"1","bbc.mobile.news.ww","wearable/Wearable",1
"2","bn.ereader.apk","location/LocationServices",1
"3","cc.pacer.androidapp.apk","location/LocationServices",1
"4","com.accuweather.android.apk","wearable/Wearable, location/LocationServices",2
"5","com.amazon.mShop.android.shopping.apk","wearable/Wearable, location/LocationServices",2
"6","com.aol.mobile.aolapp","wearable/Wearable",1
"7","com.apalon.weatherradar.free.apk","location/LocationServices",1
"8","com.bitsmedia.android.muslimpro.apk","location/LocationServices",1
"9","com.booking.apk","location/LocationServices",1
"10","com.chatous.chatous.apk","location/LocationServices",1
"11","com.cheerfulinc.flipagram.apk","location/LocationServices",1
"12","com.chickfila.cfaflagship.apk","location/LocationServices, wallet/Wallet, location/ActivityRecognition",3
"13","com.cmcm.live","location/LocationServices, plus/Plus",2
"14","com.contacts1800.ecomapp.apk","wearable/Wearable, wallet/Wallet, location/LocationServices",3
"15","com.contextlogic.geek","wallet/Wallet, plus/Plus, appindexing/AppIndex",3
"16","com.contextlogic.wish","wallet/Wallet, plus/Plus, appindexing/AppIndex",3
"17","com.cube.arc.blood","location/LocationServices",1
"18","com.cvs.launchers.cvs.apk","location/LocationServices, location/ActivityRecognition",2
"19","com.cyberlink.youcammakeup.apk","appindexing/AppIndex",1
"20","com.dictionary.apk","location/LocationServices",1
"21","com.discoverfinancial.mobile.apk","wearable/Wearable, location/LocationServices",2
"22","com.droid27.transparentclockweather","location/LocationServices",1
"23","com.energysh.drawshow","appinvite/AppInvite, appindexing/AppIndex",2
"24","com.enflick.android.TextNow.apk","wearable/Wearable, location/LocationServices",2
"25","com.fishbrain.app","location/LocationServices",1
"26","com.gau.go.launcherex.gowidget.weatherwidget","wearable/Wearable",1
"27","com.gotv.nflgamecenter.us.lite.apk","wearable/Wearable, location/LocationServices",2
"28","com.groundspeak.geocaching.intro","location/LocationServices",1
"29","com.groupon.apk","location/LocationServices, plus/Plus, appindexing/AppIndex, location/ActivityRecognition, search/SearchAuth, wallet/Wallet",6
"30","com.grubhub.android","location/LocationServices",1
"31","com.handmark.expressweather","wearable/Wearable, location/LocationServices",2
"32","com.hbo.hbonow","wearable/Wearable",1
"33","com.here.app.maps.apk","wearable/Wearable",1
"34","com.hopper.mountainview.play.apk","appindexing/AppIndex, location/LocationServices",2
"35","com.hulu.plus","appindexing/AppIndex, cast/Cast",2
"36","com.infraware.office.link.apk","plus/Plus, wearable/Wearable",2
"37","com.linkedin.android.jobs.jobseeker","location/LocationServices",1
"38","com.lucktastic.scratch.apk","plus/Plus, location/LocationServices, location/ActivityRecognition",3
"39","com.mapmywalk.android2.apk","wearable/Wearable",1
"40","com.mcdonalds.app.apk","location/LocationServices, plus/Plus",2
"41","com.mercariapp.mercari.apk","plus/Plus, appinvite/AppInvite",2
"42","com.move.realtor.apk","search/SearchAuth",1
"43","com.myfitnesspal.android.apk","location/LocationServices, appindexing/AppIndex",2
"44","com.myyearbook.m.apk","appindexing/AppIndex, location/LocationServices",2
"45","com.naver.linewebtoon.apk","appindexing/AppIndex",1
"46","com.nyctrans.it","appindexing/AppIndex, location/LocationServices",2
"47","com.offerup.apk","location/LocationServices",1
"48","com.oovoo.apk","location/LocationServices, plus/Plus",2
"49","com.pandora.android.apk","wearable/Wearable, appindexing/AppIndex, cast/Cast, location/LocationServices",4
"50","com.paypal.android.p2pmobile.apk","safetynet/SafetyNet, location/LocationServices",2
"51","com.picsart.studio.apk","wearable/Wearable, drive/Drive, plus/Plus, location/LocationServices",4
"52","com.pinterest.apk","plus/Plus, appindexing/AppIndex, wallet/Wallet",3
"53","com.poshmark.app.apk","wallet/Wallet, plus/Plus",2
"54","com.quanticapps.quranandroid.apk","location/LocationServices",1
"55","com.rhapsody","location/LocationServices",1
"56","com.smule.singandroid.apk","plus/Plus",1
"57","com.southwestairlines.mobile","wearable/Wearable",1
"58","com.sparkpeople.androidtracker.apk","appinvite/AppInvite",1
"59","com.squareup.apk","safetynet/SafetyNet",1
"60","com.tinder.apk","location/LocationServices",1
"61","com.tumblr.apk","location/ActivityRecognition, location/LocationServices",2
"62","com.urbandroid.sleep","location/LocationServices, wearable/Wearable",2
"63","com.usablenet.mobile.walgreen.apk","location/LocationServices",1
"64","com.usatoday.android.news","location/LocationServices, appindexing/AppIndex, wearable/Wearable",3
"65","com.walmart.android.apk","appindexing/AppIndex, location/LocationServices",2
"66","com.waze.apk","location/ActivityRecognition, plus/Plus, location/reporting/ReportingServices, location/LocationServices",4
"67","com.weather.Weather.apk","location/LocationServices, plus/Plus",2
"68","com.whatsapp","location/LocationServices, wearable/Wearable",2
"69","com.wunderground.android.weather.apk","location/LocationServices",1
"70","com.zillow.android.zillowmap.apk","location/LocationServices, wearable/Wearable, panorama/Panorama",3
"71","net.zedge.android.apk","wearable/Wearable",1
"72","org.mozilla.firefox","cast/Cast",1
"73","tunein.player.apk","wearable/Wearable, plus/Plus, cast/Cast",3
"74","wp.wattpad.apk","location/LocationServices",1
